"ID","一级服务线","二级服务线","场景","原智能体数量","原智能体名称","建议新智能体","相似度","优先级","收敛理由"
"proposal_11","寿险机构集中","寿险机构集中","寿险机构集中-寿险机构集中","36","人格-客户活动类立项签报审批; 人格-借支类立项签报审批; 人格-寿险非方案签报审批; 人格-业绩推动-方案激励类立项签报审批; 人格-视同销售智能核对校验; 人格-预算员培训助手; 人格-大连预算业务答疑精灵; 人格-税务完税证明要素提取; 人格-批语生成; 人格-预提费用与可用资金对比; 人格-寿险预算员审批; 人格-寿险关联交易科目检查; 人格-数据汇总合计; 金服数据查询demo版; 人格-成都机构集中寿险税务信息查询; 山西预算签报提示小助手; 人格-结息凭证信息提取; 人格-寿险机构集中百问百答出题小精灵; 人格-签报审批权限; 福建机构网格系列预算签报智能问答智能体; 人格-预提核算科目代码查询; 人格-项目名称税率查询; 人格-全年税务金额查询; 人格-预算员全流程百事通; 人格-寿险Y1预算子目查询; 人格-寿险核算题库通; 人格-寿险预算题库通; 人格--报销类别识别; 人格-寿险差旅费标准查询; 人格-寿险自查问题指引; 人格-投向定义; 网格预算签报智能出题; 人格-签报会议费计算; 人格-网格激励费; 人格-月度保费收入查询; 人格-个险外勤培训住宿审批助手","寿险机构集中-寿险机构集中-统一智能体","11.0%","高","同属「寿险机构集中-寿险机构集中」服务线，共36个智能体，平均相似度11%，总调用26005次，建议合并以减少用户决策成本"
"proposal_7","账户办理","账户业务办理","资金管理类服务项目","18","人格-账户智能问答; 人格-账户审批链; 人格-账户签报模板; 人格-宣导库集成应用; 人格-账户开户报备审核辅助; 人格-定存组合信息匹配; 人格-系统群权限申请及账户指令录入指引; 人格-银企直联主账户信息匹配; 人格-账户非标场景指导; 人格-金服新人入职快速问答; 人格-网银卡设置流程生成; 人格-账户公司信息库; 人格-资金账户银行联系人通讯簿; 账户业务话术生成; 人格-银企直联主账号及直联资料; 人格-计费主体及管理主体查询; 人格-银行联系方式; 人格-账户签报辅助审核","账户办理-账户业务办理-统一智能体","13.2%","高","同属「账户办理-账户业务办理」服务线，共18个智能体，平均相似度13%，总调用32768次，建议合并以减少用户决策成本"
"proposal_1","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","14","人格-理财智慧答疑; 人格-产品披露时效; 人格-理财子产品信息库; 人格-底层资产的申赎确认时效; 人格-非标资产信息检索; 人格-货币型产品持仓分红频率查询; 人格-到期日产品信息查询; 人格-托管行信息汇总; 人格-开放日自动检索; 人格-债券业务知识解析; 人格-增值税问题咨询; 人格-估值引擎; 人格-理财训练营; 人格-浮动管理费验证","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","高","同属「投资估值核算（理财子）-产品估值核算（理财子）」服务线，共14个智能体，平均相似度15%，总调用462582次，建议合并以减少用户决策成本"
"proposal_12","账套管理","入账审核","财务类服务项目","14","人格-智审-寿险机构总账; 人格-智审-产险机构总账; 人格-智审-集团总账; 人格-智审-科技总账; 人格-关联方查询; 人格-智审-寿险总部总账; 人格-智审-产险总部总账; 人格-智审-平安医疗总账; 人格-智审-信托总账; 人格-智审-金科总账; 人格-智审-基金总账; 人格-智审-金融中心总账; 人格-智审-智慧城市总账; 人格-立项要素识别提取","账套管理-入账审核-统一智能体","49.0%","高","同属「账套管理-入账审核」服务线，共14个智能体，平均相似度49%，总调用7219次，建议合并以减少用户决策成本"
"proposal_13","账套管理","月结基础套餐","财务类服务项目","14","人格-OF汇总表提取; 人格-风控-借贷异常校验; 人格-重点科目月结检查; 成都-财服-财税-月结指令对账检查; 人格-风控-网银入账一致性校验; 人格-风控-总账弹性域校验; 人格-科目余额检查; 上海财税一部一组总账分工; 人格-资产统计工具; 人格-往来分摊操作问答; 人格-银保手续费结算签报助手; 人格-调账操作手册; 人格-预提操作手册问答; 人格-划收划付操作手册问答","账套管理-月结基础套餐-统一智能体","14.9%","高","同属「账套管理-月结基础套餐」服务线，共14个智能体，平均相似度15%，总调用12634次，建议合并以减少用户决策成本"
"proposal_18","账套附加","账套附加","财务类服务项目","14","人格-关联公司预算人员查询; 关联交易对接助手; 人格-陆控-业财核对数据匹配规则; 人格-账套信息百科; 人格-企业关联方代码检索; 费用科目子目代码查询助手; 成本中心相关信息查询; 全量银行科目代码查询; 人格-信用代码查询; 人格-根据银行账号查询账户名称; 人格-常见网址链接查询; 人格-人民币兑美元历史汇率查询; 人格-管理主体查询; 人格-财务指标查询","账套附加-账套附加-统一智能体","15.7%","高","同属「账套附加-账套附加」服务线，共14个智能体，平均相似度16%，总调用3204次，建议合并以减少用户决策成本"
"proposal_4","产险机构集中","产险机构集中","产险机构集中-产险机构集中","11","人格-凭证内容批量修改; 人格-机构集中ITAX税务档案校验; 人格-成都机构集中产险税务信息查询; 人格-总部预算调整; 人格-智引-产险杂费付款业务知识; 人格-关联交易定价公允性审核-机构版; 人格-杂费认领-科目对照; 人格-产险报告出题助手; 人格-产险预算出题助手; 人格-产险杂费付款审核要求; 人格-产险税务出题助手","产险机构集中-产险机构集中-统一智能体","16.8%","高","同属「产险机构集中-产险机构集中」服务线，共11个智能体，平均相似度17%，总调用36875次，建议合并以减少用户决策成本"
"proposal_3","费用审核","费用审核","财务类服务项目","9","人格-退回意见分类; 人格-咨询意见分类; 人格-FAQ生成; 人格-费用规则; 人格-费用合同关键信息提验; 人格-税收简称查询; 人格-内江日常事项处理指引; 人格-工作日查询与计算; 人格-采集规则","费用审核-费用审核-统一智能体","13.5%","高","同属「费用审核-费用审核」服务线，共9个智能体，平均相似度14%，总调用53293次，建议合并以减少用户决策成本"
"proposal_19","税务专项管理","税务附加业务","税务类服务项目","9","人格-风控-ITAX税金录入完整性质检; 人格-文化事业建设费自动测算; 人格-智能税审π; 人格-风控-进项申报比对; 税收优惠查询; 人格-个税知识库; 人格-报税截止时间查询; 人格-印花税税目税率查询; 人格-报税期间每日作业内容查询","税务专项管理-税务附加业务-统一智能体","23.8%","高","同属「税务专项管理-税务附加业务」服务线，共9个智能体，平均相似度24%，总调用2212次，建议合并以减少用户决策成本"
"proposal_9","费用审核","费用审核-人工线","费用审核-费用审核-人工线","7","人格-差旅制度对比; 人格-差旅费审核问答; 人格-报销类别与段值校验比对; 人格-科目与子目对照关系检查; 人格-预算员审核要求问答; 人格-租赁操作手册问答; 人格-培训费审核问答","费用审核-费用审核-人工线-统一智能体","37.2%","高","同属「费用审核-费用审核-人工线」服务线，共7个智能体，平均相似度37%，总调用8471次，建议合并以减少用户决策成本"
